案例目录,案例编号,测试概述,前置条件,操作步骤,测试数据,操作步骤名称,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能
,,2513.HK买入6000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C,,向企微BOT发送下单指令“2513.HK买入6000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：2513.HK标的名称：智谱交易品种：港股委托数量：6000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-22 09:50:00算法结束时间：2026-04-22 16:00:00交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 6000股已成交均价： *已成交金额： *,,,,,,,,,
,,02513智谱买入9000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C,,向企微BOT发送下单指令“02513智谱买入9000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：2513.HK标的名称：智谱交易品种：港股委托数量：9000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-24 09:50:00算法结束时间：2026-04-24 16:00:00交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 9000股已成交均价： *已成交金额： *,,,,,,,,,
,,02513智谱买入9000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C,,向企微BOT发送下单指令“02513智谱买入9000股，市价跟量30%，算法开始时间：09:50，算法结束时间：16:00 @场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：2513.HK标的名称：智谱交易品种：港股委托数量：9000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-24 09:50:00算法结束时间：2026-04-24 16:00:00交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 9000股已成交均价： *已成交金额： *,,,,,,,,,
,,02513智谱买入9000股，市价跟量30%，现在开始，今天收盘结束@场外AI交易助手测试C,,向企微BOT发送下单指令“02513智谱买入9000股，市价跟量30%，现在开始，今天收盘结束@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：2513.HK标的名称：智谱交易品种：港股委托数量：9000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-24 09:06:12算法结束时间：2026-04-24 20:10:00交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 9000股已成交均价： *已成交金额： *,,,,,,,,,
,,02513智谱买入9000股，市价跟量30%@场外AI交易助手测试C,,向企微BOT发送下单指令“02513智谱买入9000股，市价跟量30%@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：2513.HK标的名称：智谱交易品种：港股委托数量：9000股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-24 09:06:12算法结束时间：2026-04-24 20:10:00交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 9000股已成交均价： *已成交金额： *,,,,,,,,,
,,Kioxia买入2200股，市价跟量30%@场外AI交易助手测试C,,向企微BOT发送下单指令“Kioxia买入2200股，市价跟量30%@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：285A.T标的名称：Kioxia Holdings Corp交易品种：港股委托数量：2200股委托方向：买入价格类型：市价委托算法类型：POVPOV比例：30%算法开始时间：2026-04-24 09:10:16算法结束时间：2026-04-24 20:10:00交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 2200股已成交均价： *已成交金额： *,,,,,,,,,
,,买入1股PDD.O 限价220@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1股PDD.O 限价220@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：PDD.O标的名称：拼多多交易品种：美股委托数量：1股委托方向：买入价格类型：限价委托价格：220交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1股已成交均价： *已成交金额： *,,,,,,,,,
,,买入1股NVDA.O 限价280 允许盘前交易@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1股NVDA.O 限价280 允许盘前交易@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：1股委托方向：买入价格类型：限价委托价格：280交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1股已成交均价： *已成交金额： *,,,,,,,,,
,,买入1股NVDA.O 限价1280 @场外AI交易助手测试C,,向企微BOT发送下单指令“买入1股NVDA.O 限价1280 @场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：1股委托方向：买入价格类型：限价委托价格：1280交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1股已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价52.4@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价52.4@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：52.4交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价72.4@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价72.4@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：72.4交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价72.4@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价72.4@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：72.4交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,BH26E.IPE买入1手，限价 52.9，大合约编号GFSM-SWAP-南下期货-0001。@场外AI交易助手测试C,,向企微BOT发送下单指令“BH26E.IPE买入1手，限价 52.9，大合约编号GFSM-SWAP-南下期货-0001。@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx大合约编号：GFSM-SWAP-南下期货-0001标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：52.9交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价82.9@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价82.9@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：82.9交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价42.9@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价42.9@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：42.9交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,买入1手BH26E.IPE 限价52.9@场外AI交易助手测试C,,向企微BOT发送下单指令“买入1手BH26E.IPE 限价52.9@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：52.9交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,BH26E.IPE买入1手，市价@场外AI交易助手测试C,,向企微BOT发送下单指令“BH26E.IPE买入1手，市价@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：市价委托交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,BH26E.IPE买入1手，市价 @场外AI交易助手测试C,,向企微BOT发送下单指令“BH26E.IPE买入1手，市价 @场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BH26E.IPE标的名称：ICE布伦特原油2603交易品种：跨境期货委托数量：1手委托方向：买入价格类型：市价委托交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,HTIF2512.HK，买入，1股，限价6488 @场外AI交易助手测试C,,向企微BOT发送下单指令“HTIF2512.HK，买入，1股，限价6488 @场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：HTIF2512.HK标的名称：HKEX恒生科技指数期货2512交易品种：跨境期货委托数量：1股委托方向：买入价格类型：限价委托价格：6488交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1股已成交均价： *已成交金额： *,,,,,,,,,
,,HTIF2512.HK，买入，1股，市价@场外AI交易助手测试C,,向企微BOT发送下单指令“HTIF2512.HK，买入，1股，市价@场外AI交易助手测试C  ”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：HTIF2512.HK标的名称：HKEX恒生科技指数期货2512交易品种：跨境期货委托数量：1股委托方向：买入价格类型：市价委托交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1股已成交均价： *已成交金额： *,,,,,,,,,
,,BG26E.IPE 买入 1手 限价60@场外AI交易助手测试C,,向企微BOT发送下单指令“BG26E.IPE 买入 1手 限价60@场外AI交易助手测试C  ”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BG26E.IPE标的名称：ICE布伦特原油2602交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：60交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,HTIF2512.HK 限价7350 买1手@场外AI交易助手测试C,,向企微BOT发送下单指令“HTIF2512.HK 限价7350 买1手@场外AI交易助手测试C  ”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：HTIF2512.HK标的名称：HKEX恒生科技指数期货2512交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：7350交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
,,BG26E.IPE 限价50 买1手@场外AI交易助手测试C,,向企微BOT发送下单指令“BG26E.IPE 限价50 买1手@场外AI交易助手测试C”,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：BG26E.IPE标的名称：ICE布伦特原油2602交易品种：跨境期货委托数量：1手委托方向：买入价格类型：限价委托价格：50交易对手：11086测试短名  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 1手已成交均价： *已成交金额： *,,,,,,,,,
